feature,coef,abs_coef
pc53_pt,41.755593843072866,41.755593843072866
pc19_pt,16.45649332679463,16.45649332679463
pc2_pt,14.69618313283239,14.69618313283239
pc24_pt,14.397329484899057,14.397329484899057
pc47_pt,12.068232257854273,12.068232257854273
pc46_pt,-11.815725743921348,11.815725743921348
pc15_pt,-11.442186606119382,11.442186606119382
pc60_pt,9.901086910188265,9.901086910188265
pc3_pt,9.62655872860621,9.62655872860621
pc36_pt,9.469449048193093,9.469449048193093
Weight,-9.285838402628858,9.285838402628858
pc8_pt,-9.057978165384373,9.057978165384373
pc12_pt,9.035167266536337,9.035167266536337
pc6_pt,-8.944988839547975,8.944988839547975
pc20_pt,8.72858971614976,8.72858971614976
pc44_pt,-8.571929147296425,8.571929147296425
pc16_pt,8.563591202840904,8.563591202840904
pc32_pt,-8.275035275533027,8.275035275533027
pc51_pt,-8.10423637311402,8.10423637311402
pc41_pt,7.946325816130408,7.946325816130408
pc7_pt,7.621936187270802,7.621936187270802
pc10_pt,7.468384392383763,7.468384392383763
pc5_pt,-7.281047927227143,7.281047927227143
pc50_pt,6.649447743232511,6.649447743232511
pc25_pt,6.475880028277502,6.475880028277502
pc1_pt,6.274925124808325,6.274925124808325
pc27_pt,-6.22178913632421,6.22178913632421
pc49_pt,6.060082110735576,6.060082110735576
pc57_pt,-6.049902174475701,6.049902174475701
pc9_pt,5.87015922407415,5.87015922407415
pc17_pt,5.652788321429228,5.652788321429228
pc11_pt,5.423552450049706,5.423552450049706
pc59_pt,-5.212185978342922,5.212185978342922
pc43_pt,-5.108817682781081,5.108817682781081
pc39_pt,5.04019674672761,5.04019674672761
pc18_pt,-4.935050158428575,4.935050158428575
Stature,-4.911639827903101,4.911639827903101
pc21_pt,4.900528564866931,4.900528564866931
pc23_pt,4.563670364253602,4.563670364253602
pc48_pt,4.060487025252985,4.060487025252985
pc22_pt,-3.9746975340836586,3.9746975340836586
pc28_pt,3.8917995767540488,3.8917995767540488
pc40_pt,3.5923195238552332,3.5923195238552332
pc31_pt,3.2321088386566545,3.2321088386566545
pc38_pt,-2.934537498841299,2.934537498841299
pc30_pt,-2.892330731978464,2.892330731978464
pc34_pt,-2.8910419530042986,2.8910419530042986
pc26_pt,2.8662960127467283,2.8662960127467283
pc33_pt,-2.7500492391164526,2.7500492391164526
pc54_pt,2.4243950583996168,2.4243950583996168
pc45_pt,2.411855056496865,2.411855056496865
pc37_pt,2.238488167720551,2.238488167720551
pc4_pt,1.9627557814846324,1.9627557814846324
pc55_pt,-1.9555296182752433,1.9555296182752433
pc29_pt,1.8428678623288257,1.8428678623288257
pc58_pt,-1.5070742036083882,1.5070742036083882
pc35_pt,-1.4332890057709975,1.4332890057709975
pc52_pt,1.2595766738776326,1.2595766738776326
pc14_pt,1.0177185334541061,1.0177185334541061
pc42_pt,-0.994453085497076,0.994453085497076
pc56_pt,0.8874443400891533,0.8874443400891533
pc13_pt,0.8422171558856829,0.8422171558856829
